Título,Precio,Moneda,Expensas,Ubicación,Superficie,Estado,Ambientes,Baños,Antigüedad,Barrio
"Palermo Soho, Palermo",700,USD,85000,Malabia 1900,45.0,,1 dorm.,,30,Palermo
"Villa Urquiza, Capital Federal",450000,ARS,150000,"Avenida Monroe 5600, Piso 4°",,,1 dorm.,1,,Villa Urquiza
"Colegiales, Capital Federal",650000,ARS,270000,Olleros 4100,42.0,,1 dorm.,,5,Colegiales
"Retiro, Centro",2500,USD,,Arenales 800,,,3 dorm.,3,50,Retiro
"Belgrano, Capital Federal",490000,ARS,175000,"Amenábar 1100, Piso 4",36.0,,,1,6,Belgrano
"Colegiales, Capital Federal",750000,ARS,147000,Federico Lacroze al 3200,36.0,,1 dorm.,,5,Colegiales
"Villa Urquiza, Capital Federal",560000,ARS,160000,"Bucarelli 1900, Piso 5",41.0,Muy Bueno,,,11,Villa Urquiza
"Caballito Sur, Caballito",420000,ARS,70000,"Avenida La Plata 500, Piso 5",25.0,Monoam.,,1,,Caballito
"Almagro Norte, Almagro",600000,ARS,86000,"Palestina (Ex Rawson) 700, Piso 6",38.0,,1 dorm.,1,,Almagro
"Almagro, Capital Federal",480000,ARS,80000,"Lambare 1100, Piso 13",44.0,,1 dorm.,,40,Almagro
"Belgrano, Capital Federal",650,USD,,Juramento 1500,50.0,,1 dorm.,,40,Belgrano
"Caballito, Capital Federal",390000,ARS,36000,Campichuelo 600,26.0,Monoam.,,1,,Caballito
"Caballito, Capital Federal",400000,ARS,120000,"Av. Honorio Pueyrredon 1200, Piso 3",20.0,,1 dorm.,1,,Caballito
"Congreso, Capital Federal",580000,ARS,116000,"Solís 600, Piso 5",45.0,,2 dorm.,,35,Congreso
"Urquiza R, Villa Urquiza",500000,ARS,95000,"Galván 3200, Piso 1",38.0,,,1,3,Villa Urquiza
"Belgrano, Capital Federal",1200,USD,275000,VIRREY LORETO al 1500,58.0,,2 dorm.,,5,Belgrano
"Villa Urquiza, Capital Federal",550000,ARS,145000,"AITOLAGUIRRE 2200, Piso 3",39.0,,,1,8,Villa Urquiza
"Palermo Hollywood, Palermo",550000,ARS,115000,HUMBOLDT 2400,,Monoam.,,1,15,Palermo
"Nuñez, Capital Federal",500000,ARS,102000,Franklin D Roosevelt 2900,34.0,Excelente,,,,Nuñez
"Recoleta, Barrio Norte",450000,ARS,97600,"Arenales 1800, Piso 3",43.0,,1 dorm.,,45,Recoleta
"Belgrano C, Belgrano",550000,ARS,146000,Avenida Monroe 2100,,Monoam.,,1,15,Belgrano
"Barrio Norte, Capital Federal",1000000,ARS,195000,"Sánchez De Bustamante 2300, Piso 8",75.0,,2 dorm.,,20,Barrio Norte
"Belgrano, Capital Federal",550000,ARS,98000,"José Hernández 2300, Piso 2",38.0,Excelente,,,,Belgrano
"Parque Las Heras, Barrio Norte",680000,ARS,107000,"Juncal 2600, Piso 7",50.0,,2 dorm.,,35,Barrio Norte
"Villa Urquiza, Capital Federal",450000,ARS,119000,"Cullen 4800, Piso 9",33.0,Monoam.,,1,,Villa Urquiza
"Urquiza R, Villa Urquiza",880000,ARS,220000,"CAPDEVILA 2700, Piso 2",64.0,,2 dorm.,,25,Villa Urquiza
"Belgrano Barrancas, Belgrano",1500000,ARS,390000,Avenida Luis María Campos 1500,85.0,,2 dorm.,,45,Belgrano
"Palermo, Capital Federal",650000,ARS,140000,"Paraguay 4200, Piso 7",45.0,,,1,6,Palermo
"Palermo, Capital Federal",850000,ARS,,GORRITI al 4400 3°,55.0,,2 dorm.,,40,Palermo
"Once, Capital Federal",550,USD,179000,"Presidente Peron 2700, Piso 1",77.0,,3 dorm.,,70,Once
"Almagro Sur, Almagro",600000,ARS,60000,"Don Bosco 3700, Piso 10",43.0,,1 dorm.,,50,Almagro
"Villa Pueyrredon, Capital Federal",600000,ARS,80000,"Gabriela Mistral 2700, Piso 4",44.0,,1 dorm.,,10,Villa Pueyrredon
"Villa Pueyrredon, Capital Federal",360000,ARS,80000,Vallejos 3200,30.0,Muy Bueno,,,8,Villa Pueyrredon
"Barrio Norte, Capital Federal",440000,ARS,71000,"Paraguay 2400, Piso 6",34.0,,1 dorm.,,45,Barrio Norte
"Palermo, Capital Federal",750000,ARS,120000,"Uriarte 2100, Piso 4",60.0,,2 dorm.,,40,Palermo
